Nivel	Id_Direccion	Desc_Direccion	Id_Clave
5	B0050          	SEDE UNIVERSITARIA MUNICIPAL (PLAZA DE LA REVOLUCION)	5-B0050          
5	B0051          	SECRETARIA DOCENTE	5-B0051          
5	B0052          	ADMINISRACION	5-B0052          
5	B0053          	AREA DOCENTE	5-B0053          
5	B0060          	FILIAL UNIVERSITARIA TERRITORIAL(Habana del Este-Guanabacoa-Regla=	5-B0060          
5	B0061          	SECRETARIA DOCENTE	5-B0061          
5	B0062          	AREA  DOCENTE	5-B0062          
5	B0063          	ADMINISTRACION	5-B0063          
5	B0070          	FILIAL UNIVERSITARIA TERRITORIAL (San Miguel del Padron-Cotorro)	5-B0070          
5	B0071          	SECRETARIA DOCENTE	5-B0071          
5	B0072          	AREA  DOCENTE	5-B0072          
5	B0073          	ADMINISTRACION	5-B0073          
5	B0100          	SEDE UNIVERSITARIA MUNICIPAL (CENTRO HABANA)	5-B0100          
5	B0110          	SECRETARIA DOCENTE	5-B0110          
5	B0120          	ADMINISTRACION	5-B0120          
5	B0130          	AREA DOCENTE	5-B0130          
5	B0200          	SEDE UNIVERSITARIA MUNICIPAL (HABANA VIEJA)	5-B0200          
5	B0210          	SECRETARIA DOCENTE	5-B0210          
5	B0220          	ADMINISTRACION	5-B0220          
5	B0230          	AREA DOCENTE	5-B0230          
5	B0300          	SEDE UNIVERSITARIA MUNICIPAL (CERRO)	5-B0300          
5	B0310          	SECRETARIA DOCENTE	5-B0310          
5	B0320          	ADMINISTRACION	5-B0320          
5	B0330          	AREA  DOCENTE	5-B0330          
5	B0400          	SEDE UNIVERSITARIA MUNICIPAL (10 DE OCTUBRE)	5-B0400          
5	B0410          	SECRETARIA DOCENTE	5-B0410          
5	B0420          	ADMINISTRACION	5-B0420          
5	B0430          	AREA DOCENTE	5-B0430          
5	B0500          	SEDE UNIVERSITARIA MUNICIPAL (PLAYA)	5-B0500          
5	B0510          	SECRETARIA DOCENTE	5-B0510          
5	B0520          	ADMINISTRACION	5-B0520          
5	B0530          	AREA  DOCENTE	5-B0530          
5	B0600          	SEDE UNIVERSITARIA MUNICIPAL (HABANA DEL ESTE)	5-B0600          
5	B0610          	SECRETARIA DOCENTE	5-B0610          
5	B0620          	ADMINISTRACION	5-B0620          
5	B0630          	AREA  DOCENTE	5-B0630          
5	B0700          	SEDE UNIVERSITARIA MUNICIPAL (GUANABACOA)	5-B0700          
5	B0710          	SECRETARIA DOCENTE	5-B0710          
5	B0720          	ADMINISRACION	5-B0720          
5	B0730          	AREA  DOCENTE	5-B0730          
5	B0800          	SEDE UNIVERSITARIA MUNICIPAL (ARROYO NARANJO)	5-B0800          
5	B0810          	SECRETARIA DOCENTE	5-B0810          
5	B0820          	ADMINISTRACION	5-B0820          
5	B0830          	AREA  DOCENTE	5-B0830          
5	B0900          	SEDE UNIVERSITARIA MUNICIPAL (SAN MIGUEL DEL PADRON)	5-B0900          
5	B0910          	SECRETARIA DOCENTE	5-B0910          
5	B0920          	ADMINISTRACION	5-B0920          
5	B0930          	AREA  DOCENTE	5-B0930          
5	B4000          	ESCUELA DE TRABAJADORES SOCIALES ( COJIMAR )	5-B4000          
5	B4100          	SECRETARIA DOCENTE	5-B4100          
5	B4200          	ADMINISTTRACION	5-B4200          
5	B4300          	DIRECCION DOCENTE	5-B4300          
5	B4310          	DEPARTAMENTO I.C.T.B.	5-B4310          
5	B4400          	DIRECCION DE ACTIVIDADES	5-B4400          
5	B4500          	DIRECCION DE UNIDADES	5-B4500          
5	B5000          	ESCUELA DE TRABAJADORES SOCIALES  (PROYECTO ESPERANZA SOCIAL)	5-B5000          
5	B5100          	SECRETARIA  DOCENTE	5-B5100          
5	B5200          	ADMINISTRACCION	5-B5200          
5	B5300          	DIRECCION DOCENTE	5-B5300          
5	B5500          	DIRECCION DE UNIDADES	5-B5500          
5	C0000          	VICERECTORIA  DE ECONOMIA	5-C0000          
5	C1000          	DIRECCION DE CONTABILIDAD Y FINANZA	5-C1000          
5	C1010          	GRUPO DE CONTABILIDAD	5-C1010          
5	C1020          	GRUPO DE FINANZA 	5-C1020          
5	C2000          	DIRECCION DE ECONOMIA(UP-UH)	5-C2000          
5	C2010          	CENTO DE GASTOS DE  DOCENCIA	5-C2010          
5	C2020          	CENTRO DE GASTOS DE  CIENCIA YTECNICA	5-C2020          
5	C2030          	CENTRO DE GASTOS DE ASEGURAMIENTO	5-C2030          
5	C3000          	DIORECCION DE PLANIFICACION Y ESTADISTICA	5-C3000          
5	C3010          	GRUPO DE PLANIFICACION	5-C3010          
5	C3020          	GRUPO DE ESTADISTICA	5-C3020          
5	D0000          	VICERECTORIA [ATENCION ACTIVIDADES DOCENTES Y ADMINISTRATIVAS]	5-D0000          
5	E0000          	VICERECTORIA  (ATENCION A ESTUDIANTES)	5-E0000          
5	E0010          	 GRUPO DE ESTUDIOS SOCIALES	5-E0010          
5	G0000          	VICERECTORIA (DOCENTE EDUCATIVA)	5-G0000          
5	G0100          	DOCENTE EDUCATIVA  DEPARTAMENTO DEFENSA  	5-G0100          
5	G1000          	DOCENTE EDUCATIVA DOCENTE METODOLOGICA   	5-G1000          
5	G2000          	DOCENTE EDUCATIVA CULT. FIS. SUP. ATL.   	5-G2000          
5	G2100          	DOCENTE EDUCATIVA CULT. FIS. SUP. ATL. EDUC. FIS. Y DEPORT.  	5-G2100          
5	G2200          	DOCENTE EDUCATIVA CULT. FIS. SUP. ATL. ADMINISTRATIVO  	5-G2200          
5	G2300          	SECCIÓN DE SERVICIOS INTERNOS	5-G2300          
5	G4000          	POSTGRADO Y R.I. EXTENSION UNIVERSITARIA.	5-G4000          
5	G4003          	GRUPO DOCENTE DE EXTENSION UNIVERSITARIA	5-G4003          
5	G4005          	MUSEO  FRAGUA MARTIANA	5-G4005          
5	G4010          	POSTGRADO Y R.I. EXTENSION UNIVERSIT.  GRUPO DE TV UNIV H. 	5-G4010          
5	G4020          	POSTGRADO Y R.I. EXTENSION UNIVERSIT.  ADMIN. EXT. UNIVERS. 	5-G4020          
5	G4030          	POSTGRADO Y R.I. EXTENSION UNIVERSIT.  CASA ESTUDIANTIL 	5-G4030          
5	H0000          	VICERECTORIA (INVESTIGACION)	5-H0000          
5	H0010          	IVICERECTORIA INVESTIGACION (O.T.R.I.)	5-H0010          
5	H0020          	GRUPO DE SERVICIOS TELEMATICOS  (RED)	5-H0020          
5	H0050          	DIRECCION DE CIENCIA Y TECNICA  	5-H0050          
5	H1000          	INVESTIGACION CIENT. C.E.P.E.S.   	5-H1000          
5	H1005          	GRUPO DE TECNOLOGIA EDUCATIVA	5-H1005          
5	H1010          	INVESTIGACION CIENT. C.E.P.E.S.  COMPUTACION 	5-H1010          
5	H1020          	INVESTIGACION CIENT. C.E.P.E.S.  PEDAGOGIA Y PSICOL. 	5-H1020          
5	H1030          	INVESTIGACION CIENT. C.E.P.E.S.  DESARROLLO Y ECONOM. 	5-H1030          
5	H1040          	INVESTIGACION CIENT. C.E.P.E.S.  AREA DE INV. DESARROLLO.	5-H1040          
5	H1045          	 GRUPO DE INFORMATICA  EDUCATIVA	5-H1045          
5	H1050          	INVESTIGACION CIENT. C.E.P.E.S.  ADMINISTRATIVA 	5-H1050          
5	H2000          	INVESTIGACION CIENT. I.M.R.E.   	5-H2000          
5	H2010          	CENTRO COSTO Y DE PAGOS	5-H2010          
5	H2200          	INVESTIGACION CIENT. I.M.R.E.AREA INVESTIGATIVA	5-H2200          
5	H2210          	GRUPO DE ENERMAT	5-H2210          
5	H2220          	GRUPO DE LUCES	5-H2220          
5	H2230          	GRUPO DE NANOMAT	5-H2230          
5	H2240          	GRUPO DE QUIMAT	5-H2240          
5	H2250          	GRUPO DE LASER	5-H2250          
5	H2800          	INVESTIGACION CIENT. I.M.R.E.TALLER.	5-H2800          
5	H2900          	INVESTIGACION CIENT. I.M.R.E. ADMINISTRATIVO  	5-H2900          
5	H3000          	INVESTIGACION CIENT. CENTRO DE BIOMATERIALES	5-H3000          
5	H3010          	INVESTIGACION CIENT. CENTRO DE BIOMATERIA  PROMOCION Y COMERCIA 	5-H3010          
5	H3020          	INVESTIGACION CIENT. CENTRO DE BIOMATERIA  GRUPO PRODUCCION. 	5-H3020          
5	H3030          	DEPARTAMENTO DE DESARROLLO TECNOLOGICO	5-H3030          
5	H3100          	INVESTIGACION CIENT. CENTRO DE BIOMATERIA QUIMICA MACROMOLEC.  	5-H3100          
5	H3200          	INVESTIGACION CIENT. CENTRO DE BIOMATERIA CERAMICA Y COMPOSIT.  	5-H3200          
5	H3300          	INVESTIGACION CIENT. CENTRO DE BIOMATERIA ASEGUR DE LA CALIDAD  	5-H3300          
5	H3400          	INVESTIGACION CIENT. CENTRO DE BIOMAT. ADMINISTRATIVO  	5-H3400          
5	H4000          	INVESTIGACION CIENT. C.E.S.E.U.   	5-H4000          
5	H4010          	INVESTIGACION CIENT. C.E.S.E.U.  SECC ADMINISTRATIVA 	5-H4010          
5	H4100          	INVESTIGACION CIENT. C.E.S.E.U. AREA DE INVEST. DES.  	5-H4100          
5	H5000          	INVESTIGACION CIENT. C.I.E.I.   	5-H5000          
5	H5100          	INVESTIGACION CIENT. C.I.E.I. ECONOMIA INTERNAC.  	5-H5100          
5	H5200          	INVESTIGACION CIENT. C.I.E.I. ADMINISTRATIVO  	5-H5200          
5	H6000          	INVESTIGACION CIENT. C.E.D.E.M.   	5-H6000          
5	H6200          	INVESTIGACION CIENT. C.E.D.E.M. ADMINISTRATIVO  	5-H6200          
5	H6201          	INVESTIGACION CIENT. C.E.D.E.M. ADMINISTRATIVO  IMPRENTA	5-H6201          
5	H7000          	INVESTIGACION CIENT. C.E.E.C.   	5-H7000          
5	H7010          	INVESTIGACION CIENT. C.E.E.C.  SECCION ADMINISTRATI 	5-H7010          
5	H8000          	INVESTIGACION CIENT. C.E.MEDIO ANBIENTE   	5-H8000          
5	H8100          	 GRUPO DOCENTE	5-H8100          
5	H8200          	 GRUPO DE EDICONES	5-H8200          
5	H8300          	 GRUPO ADMINISTRATIVO	5-H8300          
5	H9000          	INVESTIGACION CIENTIFICA DIRECCION DE INFORMACION CIENTIFICO TECNICA	5-H9000          
5	H9050          	GRUPO DOCENTE (DIR. INFORMACION)	5-H9050          
5	H9100          	INVESTIGACION CIENTIFICA DIRECCION DE INFORMACION CIENTIFICO TECNICA  DPTO PROC TECN INFORM	5-H9100          
5	H9115          	INVESTIGACION CIENTIFICA DIRECCION DE INFORMACION CIENT TECNICA  DPTO PROC TECN INFOR  GRPO DESARR	5-H9115          
5	H9125          	INVESTIGACION CIENTIFICA DIRECCION DE INFORMACION CIENT TECNICA  DPTO PROC TECN INFOR  GRPO ANALIT 	5-H9125          
5	H9135          	INVESTIGACION CIENTIFICA DIRECCION DE INFORMACION CIENT TECNICA  DPTO PROC TECN INFOR  GRPO TEC INF 	5-H9135          
5	H9200          	INVESTIGACION CIENTIFICA DIRECCION DE INFORMACION CIENT TECNICA  DPTO SERVICIOS INFORMATICOS	5-H9200          
5	H9215          	INVESTIGACION CIENTIFICA DIRECCION DE INFORMACION CIENT TECNICA  DPTO SERV INFOR  GPO CONSUL Y REFER	5-H9215          
5	H9225          	INVESTIGACION CIENTIFICA DIRECCION DE INFORMACION CIENT TECNICA  DPTO SERV INFOR  GPO FONDOS INFORM	5-H9225          
5	H9235          	INVESTIGACION CIENTIFICA DIRECCION DE INFORMACION CIENT TECNICA  DPTO SERV INFOR  GPO TRADUCCIONES	5-H9235          
5	H9400          	INVESTIGACION CIENTIFICA DIRECCION DE INFORMACION CIENT TECNICA  DPTO SERV INFOR  GPO TRADUCCIONES	5-H9400          
5	H9410          	INVESTIGACION CIENTIFICA DIRECCION DE INFORMACION CIENT TECNICA  SECCION ADMINISTRATIVA	5-H9410          
5	I0000          	VICERECTORIA POSGRADO Y REL INTERN.	5-I0000          
5	I0010          	Direccion Administrativa COPE	5-I0010          
5	I0030          	GRUPO DE SERVICIOS ACADEMICOS INTERNACIONALES(OSAI-UH)	5-I0030          
5	I0050          	DEPARTAMENTO DE COMUNICACION	5-I0050          
5	I1000          	POSTGRADO Y R.I. RELACIONES INTERNACIONALES.	5-I1000          
5	I1005          	 GRUPO DE SERVICIOS ACADEMICOS INTERNACIONALES (OSAI-UH)	5-I1005          
5	I1010          	POSTGRADO Y R.I. RELACIONES INTERNAC.  COLABORACION 	5-I1010          
5	I1015          	GRUPO DE GESTION DE PROYECTOS INTERNACIONALES Y DONATIVOS	5-I1015          
5	I1020          	POSTGRADO Y R.I. RELACIONES INTERNAC.  SECCION DE TRAMITES.	5-I1020          
5	I1040          	POSTGRADO Y R.I. RELACIONES INTERNAC.  SECC ADMINISTRATIVA 	5-I1040          
5	I2000          	DIRECCIÓN DE COMUNICACIÓN	5-I2000          
5	I3000          	POSTGRADO Y R.I. DIRECCION DE POSGRAD   	5-I3000          
5	I4000          	DIRECCION DE EVENTOS Y SERVICIOS ACADEMICOS INTERNACIONALES	5-I4000          
5	I4010          	DEPARTAMENTO DE SERVICIOS ACADEMICOS INTERNACIONALES	5-I4010          
5	I4020          	GRUPO ADMINISTRATIVO	5-I4020          
5	I5000          	CENTRO DE ESTUDIOS DE ADMINISTRACION PUBLICA	5-I5000          
5	I6000          	INSTITUTO  CONFUCIO	5-I6000          
5	I6020          	SECRETARIA  DOCENTE	5-I6020          
5	I6030          	SECCION  ADMINISTRATIVA	5-I6030          
5	I6040          	DEPARTAMENTO DOCENTE DE LENGUA CHINA	5-I6040          
5	J0000          	VICERECTORIA  DE SERVICIOS	5-J0000          
5	j0010          	UNIDAD PRESUPUESTADA DDE ASEGURAMIENTO [UPA]	5-j0010          
5	J0020          	DEPARTAMENTO DE RECURSOS HUMANOS	5-J0020          
5	J0030          	DIRECCION DE ECONOMIA	5-J0030          
5	J0040          	CENTRO DE GASTOS DE SERVICIOS	5-J0040          
5	J0050          	CENTRO DE GASTOS DE ASEGURAMIENTO	5-J0050          
5	J0060          	GRUPO DE CONTROL Y ANALISIS	5-J0060          
5	J0100          	VICERECRORIA DE SERVICIOS . SEGURIDAD Y PROTECCION.	5-J0100          
5	J1000          	VICERECTORIA DE SERVICIOS DIR.  ASEGURAMIENTO	5-J1000          
5	J1100          	ECONOMIA Y SERVICIOS ASEGURAMIENTO GESTION Y COMPRAS  	5-J1100          
5	J1200          	ECONOMIA Y SERVICIOS ASEGURAMIENTO ALMACENAJE Y DISTR.  	5-J1200          
5	J1210          	ECONOMIA Y SERVICIOS ASEGURAMIENTO ALMACENAJE Y DISTR. TRANSPORTE 	5-J1210          
5	J1220          	ECONOMIA Y SERVICIOS ASEGURAMIENTO ALMACENAJE Y DISTR. MEDIOS DE VIDA 	5-J1220          
5	J1230          	ECONOMIA Y SERVICIOS ASEGURAMIENTO ALMACENAJE Y DISTR. MEDIOS DE ESTUDIO 	5-J1230          
5	J1240          	SECCION  DE  FERRETERIA	5-J1240          
5	J1300          	SERVICIOS ASEGURAMIENTO LIBRERIA´ALMA MATER  	5-J1300          
5	j1305          	DIRECCION DE ASEGURAMIENTO (LIBRERIA ALMA MATER)	5-j1305          
5	J1400          	SECCION ADMINISTRATIVA (CASA DE PROTOCOLO)	5-J1400          
5	J2000          	VIRECTORIA DE SERVICIOS. DIRECCION DE SERVICIOS	5-J2000          
5	J2015          	CENTRO CONTABLE Y DE PAGOS	5-J2015          
5	J2020          	ECONOMIA Y SERVICIOS SERVICIOS  ALIMENTACION 	5-J2020          
5	J2030          	ECONOMIA Y SERVICIOS SERVICIOS  COMEDOR JOSE MACHADO 	5-J2030          
5	J2031          	ECONOMIA Y SERVICIOS SERVICIOS  COMEDOR JOSE MACHADO # 1	5-J2031          
5	J2032          	ECONOMIA Y SERVICIOS SERVICIOS  COMEDOR JOSE MACHADO # 2	5-J2032          
5	J2040          	ECONOMIA Y SERVICIOS SERVICIOS  CENTRO DE ELABORACIO 	5-J2040          
5	J2041          	ECONOMIA Y SERVICIOS SERVICIOS  CENTRO DE ELABORACIO DULCERIA Y PANADERIA	5-J2041          
5	J2042          	ECONOMIA Y SERVICIOS SERVICIOS  CENTRO DE ELABORACIO ELABORACION	5-J2042          
5	J2100          	ECONOMIA Y SERVICIOS SERVICIOS ACTIVIDADES Y COMUN.  	5-J2100          
5	J2101          	ECONOMIA Y SERVICIOS SERVICIOS ACTIVIDADES Y COMUN.  CORRESPONDENCIA	5-J2101          
5	J2110          	ECONOMIA Y SERVICIOS SERVICIOS ACTIVIDADES Y COMUN. SECC. SERVICIOS INTE 	5-J2110          
5	J2120          	ADMINISTRACION (EDIFICIO VARONA)	5-J2120          
5	J2200          	ECONOMIA Y SERVICIOS SERVICIOS TRANSPORTE  	5-J2200          
5	J2201          	ECONOMIA Y SERVICIOS SERVICIOS TRANSPORTE  TRANSPORTE	5-J2201          
5	J2300          	ECONOMIA Y SERVICIOS SERVICIOS EQUIPOS AUTOMOTOR  	5-J2300          
5	J2301          	ECONOMIA Y SERVICIOS SERVICIOS EQUIPOS AUTOMOTOR  # 1	5-J2301          
5	J2302          	ECONOMIA Y SERVICIOS SERVICIOS EQUIPOS AUTOMOTOR  # 2	5-J2302          
5	J2310          	ECONOMIA Y SERVICIOS SERVICIOS EQUIPOS AUTOMOTOR CONT. Y OP. OMNIBUS 	5-J2310          
5	J2400          	ECONOMIA Y SERVICIOS SERVICIOS ADM. EDIF. MELLA  	5-J2400          
5	J2410          	ECONOMIA Y SERVICIOS SERVICIOS ADM. EDIF. MELLA MANTENIM. Y SERVIC. 	5-J2410          
5	J2411          	ECONOMIA Y SERVICIOS SERVICIOS ADM. EDIF. MELLA MANTENIM. Y SERVIC. MANTENIMIENTO	5-J2411          
5	J2412          	ECONOMIA Y SERVICIOS SERVICIOS ADM. EDIF. MELLA MANTENIM. Y SERVIC. SERVICIOS	5-J2412          
5	J2420          	ECONOMIA Y SERVICIOS SERVICIOS ADM. EDIF. MELLA (CENTRO DE ELABORACION)	5-J2420          
5	J2421          	ECONOMIA Y SERVICIOS SERVICIOS ADM. EDIF. MELLA COCINA COMEDOR COCINA	5-J2421          
5	J2510          	ECONOMIA Y SERVICIOS SERVICIOS  IMPRENTA 	5-J2510          
5	J3000          	VICERECTORIA DE SERVICIOS. DIRECCION DE SERVICIOS A EVENTOS	5-J3000          
5	J3005          	SECCION DE SERVICIO	5-J3005          
5	J3007          	SECCION DE ALOJAMIENTO	5-J3007          
5	J3009          	SECCION DE MANTENIMIENTO	5-J3009          
5	J3010          	SERVICIOS SERVICIOS A EVENTOS  VILLA  41 Y 18 	5-J3010          
5	J3021          	ECONOMIA Y SERVICIOS SERVICIOS A EVENTOS  COCINA COMEDOR # 1	5-J3021          
5	J3022          	ECONOMIA Y SERVICIOS SERVICIOS A EVENTOS  COCINA COMEDOR # 2	5-J3022          
5	J3050          	ECONOMIA Y SERVICIOS SERVICIOS A EVENTOS  MANTENIM. Y ALOJAM. 	5-J3050          
5	J3051          	ECONOMIA Y SERVICIOS SERVICIOS A EVENTOS  MANTENIM. Y ALOJAM. MANTENIMIENTO	5-J3051          
5	J3052          	ECONOMIA Y SERVICIOS SERVICIOS A EVENTOS  MANTENIM. Y ALOJAM. MANTENIMIENTO PLAYA	5-J3052          
5	J3100          	SERVICIOS SERVICIOS A EVENTOS VILLA MIRAMAR 5TA.62  	5-J3100          
5	J3200          	ECONOMIA Y SERVICIOS SERVICIOS A EVENTOS (CASA DE PROTOCOLO)	5-J3200          
5	J4000          	VICERECTORIA DE SERVICIOS . DIR INGENIERO PRINCIPAL	5-J4000          
5	J4010          	GRUPO DE ASEAORIA LEGAL	5-J4010          
5	J4020          	GRUPO DE ADMINISTRACION	5-J4020          
5	J4030          	GRUPO DECONTROL LOGISTICO Y ECONOMICO	5-J4030          
5	J4040          	ECONOMIA Y SERVICIOS INGENIERO PRINCIPAL  ASEG.TECNICO A  EDIF 	5-J4040          
5	J4100          	ECONOMIA Y SERVICIOS INGENIERO PRINCIPAL MANTENIMIENTO ESP.  	5-J4100          
5	J4111          	ECONOMIA Y SERVICIOS INGENIERO PRINCIPAL MANTENIMIENTO ESP. MANTENIMIENTO PLOMERIA	5-J4111          
5	J4113          	ECONOMIA Y SERVICIOS INGENIERO PRINCIPAL MANTENIMIENTO ESP. MANTENIMIENTO OPERACIONES VARIAS	5-J4113          
5	J4114          	ECONOMIA Y SERVICIOS INGENIERO PRINCIPAL MANTENIMIENTO ESP. MANTENIMIENTO BRIGADA CARPINTERIA	5-J4114          
5	J4200          	ECONOMIA Y SERVICIOS INGENIERO PRINCIPAL REFRIGERACION  	5-J4200          
5	J4201          	ECONOMIA Y SERVICIOS INGENIERO PRINCIPAL REFRIGERACION  ENRROLLADO Y MAQUIN.	5-J4201          
5	J4202          	ECONOMIA Y SERVICIOS INGENIERO PRINCIPAL REFRIGERACION  REFRIGER. DOMESTICA	5-J4202          
5	J4301          	ECONOMIA Y SERVICIOS INGENIERO PRINCIPAL MECANICA INDUSTRIAL  CALDERAS	5-J4301          
5	J4302          	ECONOMIA Y SERVICIOS INGENIERO PRINCIPAL MECANICA INDUSTRIAL  CAMPANA	5-J4302          
5	J4303          	ECONOMIA Y SERVICIOS INGENIERO PRINCIPAL MECANICA INDUSTRIAL  HIDRAULICA	5-J4303          
5	J4400          	ECONOMIA Y SERVICIOS INGENIERO PRINCIPAL MIRAMAR Y COMPUTAC.  	5-J4400          
5	J5000          	VICERECTORIA DE SERVICIOS . BRIG ASP. CONTINGENTE	5-J5000          
5	J5100          	ECONOMIA Y SERVICIOS CONTINGENTE ADMINISTRACION  	5-J5100          
5	J5200          	ECONOMIA Y SERVICIOS CONTINGENTE ASEGURAMIENTO  	5-J5200          
5	J5300          	ECONOMIA Y SERVICIOS CONTINGENTE EQUIPOS  	5-J5300          
5	J5400          	ECONOMIA Y SERVICIOS CONTINGENTE TECNICO PRODUCTIVO  	5-J5400          
5	J5401          	ECONOMIA Y SERVICIOS CONTINGENTE TECNICO PRODUCTIVO  EJECUTOR # 1	5-J5401          
5	J5402          	ECONOMIA Y SERVICIOS CONTINGENTE TECNICO PRODUCTIVO  EJECUTOR # 2	5-J5402          
5	J5403          	ECONOMIA Y SERVICIOS CONTINGENTE TECNICO PRODUCTIVO  EJECUTOR # 3	5-J5403          
5	J6000          	VICERECTORIA DE SERVICIOS. DIR DE RESIDENCIA ESTUDIANTIL	5-J6000          
